"","time","country","province","cum_confirm","cum_heal","cum_dead"
"352","2020-03-22","United Kingdom","Northern Ireland",108,0,1
"353","2020-03-23","United Kingdom","England",4792,0,181
"354","2020-03-23","United Kingdom","Scotland",416,0,7
"355","2020-03-23","United Kingdom","Wales",347,0,5
"356","2020-03-23","United Kingdom","Northern Ireland",128,0,1
"357","2020-03-24","United Kingdom","England",6483,0,386
"358","2020-03-24","United Kingdom","Scotland",584,0,16
"359","2020-03-24","United Kingdom","Wales",478,0,17
"360","2020-03-24","United Kingdom","Northern Ireland",172,0,3
"361","2020-03-25","United Kingdom","England",7973,0,414
"362","2020-03-25","United Kingdom","Scotland",719,0,22
"363","2020-03-25","United Kingdom","Wales",628,0,22
"364","2020-03-25","United Kingdom","Northern Ireland",209,0,5
"365","2020-03-26","United Kingdom","England",7973,0,414
"366","2020-03-26","United Kingdom","Scotland",719,0,22
"367","2020-03-26","United Kingdom","Wales",628,0,22
"368","2020-03-26","United Kingdom","Northern Ireland",209,0,5
"369","2020-03-27","United Kingdom","England",9782,0,521
"370","2020-03-27","United Kingdom","Scotland",894,0,25
"371","2020-03-27","United Kingdom","Wales",741,0,28
"372","2020-03-27","United Kingdom","Northern Ireland",241,0,10
"373","2020-03-28","United Kingdom","England",12288,0,679
"374","2020-03-28","United Kingdom","Scotland",1059,0,33
"375","2020-03-28","United Kingdom","Wales",921,0,34
"376","2020-03-28","United Kingdom","Northern Ireland",275,0,13
"377","2020-03-29","United Kingdom","England",14427,0,926
"378","2020-03-29","United Kingdom","Scotland",1245,0,40
"379","2020-03-29","United Kingdom","Wales",1093,0,38
"380","2020-03-29","United Kingdom","Northern Ireland",324,0,15
"381","2020-03-16","United Kingdom","England",0,0,0
"382","2020-03-16","United Kingdom","Scotland",0,0,0
"383","2020-03-16","United Kingdom","Wales",0,0,0
"384","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"385","2020-03-17","United Kingdom","England",0,0,0
"386","2020-03-17","United Kingdom","Scotland",0,0,0
"387","2020-03-17","United Kingdom","Wales",0,0,0
"388","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"389","2020-03-18","United Kingdom","England",1196,0,48
"390","2020-03-18","United Kingdom","Scotland",153,0,1
"391","2020-03-18","United Kingdom","Wales",124,0,0
"392","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"393","2020-03-19","United Kingdom","England",2182,0,48
"394","2020-03-19","United Kingdom","Scotland",227,0,1
"395","2020-03-19","United Kingdom","Wales",149,0,0
"396","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"397","2020-03-20","United Kingdom","England",2756,0,128
"398","2020-03-20","United Kingdom","Scotland",266,0,6
"399","2020-03-20","United Kingdom","Wales",170,0,2
"400","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"401","2020-03-21","United Kingdom","England",3384,0,128
"402","2020-03-21","United Kingdom","Scotland",322,0,6
"403","2020-03-21","United Kingdom","Wales",191,0,3
"404","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"405","2020-03-22","United Kingdom","England",4257,0,181
"406","2020-03-22","United Kingdom","Scotland",373,0,7
"407","2020-03-22","United Kingdom","Wales",280,0,5
"408","2020-03-22","United Kingdom","Northern Ireland",108,0,1
"409","2020-03-23","United Kingdom","England",4792,0,181
"410","2020-03-23","United Kingdom","Scotland",416,0,7
"411","2020-03-23","United Kingdom","Wales",347,0,5
"412","2020-03-23","United Kingdom","Northern Ireland",128,0,1
"413","2020-03-24","United Kingdom","England",6483,0,386
"414","2020-03-24","United Kingdom","Scotland",584,0,16
"415","2020-03-24","United Kingdom","Wales",478,0,17
"416","2020-03-24","United Kingdom","Northern Ireland",172,0,3
"417","2020-03-25","United Kingdom","England",7973,0,414
"418","2020-03-25","United Kingdom","Scotland",719,0,22
"419","2020-03-25","United Kingdom","Wales",628,0,22
"420","2020-03-25","United Kingdom","Northern Ireland",209,0,5
"421","2020-03-26","United Kingdom","England",7973,0,414
"422","2020-03-26","United Kingdom","Scotland",719,0,22
"423","2020-03-26","United Kingdom","Wales",628,0,22
"424","2020-03-26","United Kingdom","Northern Ireland",209,0,5
"425","2020-03-27","United Kingdom","England",9782,0,521
"426","2020-03-27","United Kingdom","Scotland",894,0,25
"427","2020-03-27","United Kingdom","Wales",741,0,28
"428","2020-03-27","United Kingdom","Northern Ireland",241,0,10
"429","2020-03-28","United Kingdom","England",12288,0,679
"430","2020-03-28","United Kingdom","Scotland",1059,0,33
"431","2020-03-28","United Kingdom","Wales",921,0,34
"432","2020-03-28","United Kingdom","Northern Ireland",275,0,13
"433","2020-03-29","United Kingdom","England",14427,0,926
"434","2020-03-29","United Kingdom","Scotland",1245,0,40
"435","2020-03-29","United Kingdom","Wales",1093,0,38
"436","2020-03-29","United Kingdom","Northern Ireland",324,0,15
"437","2020-03-30","United Kingdom","England",18594,0,1284
"438","2020-03-30","United Kingdom","Scotland",1563,0,41
"439","2020-03-30","United Kingdom","Wales",1451,0,62
"440","2020-03-30","United Kingdom","Northern Ireland",533,0,21
"441","2020-03-16","United Kingdom","England",0,0,0
"442","2020-03-16","United Kingdom","Scotland",0,0,0
"443","2020-03-16","United Kingdom","Wales",0,0,0
"444","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"445","2020-03-17","United Kingdom","England",0,0,0
"446","2020-03-17","United Kingdom","Scotland",0,0,0
"447","2020-03-17","United Kingdom","Wales",0,0,0
"448","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"449","2020-03-18","United Kingdom","England",1196,0,48
"450","2020-03-18","United Kingdom","Scotland",153,0,1
"451","2020-03-18","United Kingdom","Wales",124,0,0
"452","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"453","2020-03-19","United Kingdom","England",2182,0,48
"454","2020-03-19","United Kingdom","Scotland",227,0,1
"455","2020-03-19","United Kingdom","Wales",149,0,0
"456","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"457","2020-03-20","United Kingdom","England",2756,0,128
"458","2020-03-20","United Kingdom","Scotland",266,0,6
"459","2020-03-20","United Kingdom","Wales",170,0,2
"460","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"461","2020-03-21","United Kingdom","England",3384,0,128
"462","2020-03-21","United Kingdom","Scotland",322,0,6
"463","2020-03-21","United Kingdom","Wales",191,0,3
"464","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"465","2020-03-22","United Kingdom","England",4257,0,181
"466","2020-03-22","United Kingdom","Scotland",373,0,7
"467","2020-03-22","United Kingdom","Wales",280,0,5
"468","2020-03-22","United Kingdom","Northern Ireland",108,0,1
"469","2020-03-23","United Kingdom","England",4792,0,181
"470","2020-03-23","United Kingdom","Scotland",416,0,7
"471","2020-03-23","United Kingdom","Wales",347,0,5
"472","2020-03-23","United Kingdom","Northern Ireland",128,0,1
"473","2020-03-24","United Kingdom","England",6483,0,386
"474","2020-03-24","United Kingdom","Scotland",584,0,16
"475","2020-03-24","United Kingdom","Wales",478,0,17
"476","2020-03-24","United Kingdom","Northern Ireland",172,0,3
"477","2020-03-25","United Kingdom","England",7973,0,414
"478","2020-03-25","United Kingdom","Scotland",719,0,22
"479","2020-03-25","United Kingdom","Wales",628,0,22
"480","2020-03-25","United Kingdom","Northern Ireland",209,0,5
"481","2020-03-26","United Kingdom","England",7973,0,414
"482","2020-03-26","United Kingdom","Scotland",719,0,22
"483","2020-03-26","United Kingdom","Wales",628,0,22
"484","2020-03-26","United Kingdom","Northern Ireland",209,0,5
"485","2020-03-27","United Kingdom","England",9782,0,521
"486","2020-03-27","United Kingdom","Scotland",894,0,25
"487","2020-03-27","United Kingdom","Wales",741,0,28
"488","2020-03-27","United Kingdom","Northern Ireland",241,0,10
"489","2020-03-28","United Kingdom","England",12288,0,679
"490","2020-03-28","United Kingdom","Scotland",1059,0,33
"491","2020-03-28","United Kingdom","Wales",921,0,34
"492","2020-03-28","United Kingdom","Northern Ireland",275,0,13
"493","2020-03-29","United Kingdom","England",14427,0,926
"494","2020-03-29","United Kingdom","Scotland",1245,0,40
"495","2020-03-29","United Kingdom","Wales",1093,0,38
"496","2020-03-29","United Kingdom","Northern Ireland",324,0,15
