time,country,province,city,cum_confirm,cum_heal,cum_dead
1/23/20,China,Hubei,Jingzhou,8,0,0
1/23/20,China,Hubei,Xiaogan,22,0,0
1/23/20,China,Hubei,Xiantao,2,0,0
1/23/20,China,Hubei,Yichang,1,0,1
1/23/20,China,Hubei,Shiyan,1,0,0
1/23/20,China,Hubei,Huanggang,12,0,0
1/23/20,China,Hunan,Changsha,8,0,0
1/23/20,China,Hunan,Zhuzhou,1,0,0
1/23/20,China,Hunan,Xiangtan,1,0,0
1/23/20,China,Hunan,Yueyang,3,0,0
1/23/20,China,Hunan,Chenzhou,1,0,0
1/23/20,China,Hunan,Yongzhou,4,0,0
1/23/20,China,Hunan,Huaihua,3,0,0
1/23/20,China,Hunan,Loudi,3,0,0
1/23/20,China,Gansu,Lanzhou,1,0,0
1/23/20,China,Fujian,Fuzhou,1,0,0
1/23/20,China,Fujian,Xiamen,1,0,0
1/23/20,China,Fujian,Quanzhou,1,0,0
1/23/20,China,Fujian,Ningde,1,0,0
1/23/20,China,Guizhou,Guiyang,1,0,0
1/23/20,China,Guizhou,Tongren,1,0,0
1/23/20,China,Guizhou,Qiannan Prefecture,1,0,0
1/23/20,China,Liaoning,Shenyang,2,0,0
1/23/20,China,Liaoning,Dalian,1,0,0
1/23/20,China,Liaoning,Chaoyang,1,0,0
1/23/20,China,Chongqing,Liangjiang New Area,1,0,0
1/23/20,China,Chongqing,Wanzhou District,3,0,0
1/23/20,China,Chongqing,Fuling District,1,0,0
1/23/20,China,Chongqing,Dadukou District,1,0,0
1/23/20,China,Chongqing,Jiulongpo District,2,0,0
1/23/20,China,Chongqing,Yubei District,2,0,0
1/23/20,China,Chongqing,Changshou District,3,0,0
1/23/20,China,Chongqing,Yongchuan District,2,0,0
1/23/20,China,Chongqing,Kaizhou District,2,0,0
1/23/20,China,Chongqing,Dianjiang County,2,0,0
1/23/20,China,Chongqing,Zhong County,1,0,0
1/23/20,China,Chongqing,Yunyang County,1,0,0
1/23/20,China,Chongqing,Fengjie County,1,0,0
1/23/20,China,Chongqing,Wushan County,3,0,0
1/23/20,China,Chongqing,Wuxi County,1,0,0
1/23/20,China,Chongqing,Xiushan County,1,0,0
1/23/20,China,Shaanxi,Xi'an,2,0,0
1/23/20,China,Shaanxi,Xianyang,1,0,0
1/23/20,China,Shaanxi,Yan'an,1,0,0
1/23/20,China,Shaanxi,Ankang,1,0,0
1/23/20,China,Heilongjiang,Harbin,1,0,0
1/23/20,China,Heilongjiang,Daqing,1,0,0
1/23/20,China,Heilongjiang,Mudanjiang,1,0,0
1/23/20,China,Heilongjiang,Suihua,1,0,1
1/24/20,China,Inner Mongolia,Ordos,0,0,0
1/24/20,China,Shandong,Jinan,2,0,0
1/24/20,China,Shandong,Jining,2,0,0
1/24/20,China,Shandong,Weihai,3,0,0
1/24/20,China,Fujian,Xiamen,3,0,0
1/24/20,China,Inner Mongolia,Chifeng,0,0,0
1/24/20,China,Inner Mongolia,Hulunbuir,1,0,0
1/24/20,China,Inner Mongolia,Xilingol League,1,0,0
1/24/20,China,Shandong,Qingdao,4,0,0
1/24/20,China,Shandong,Weifang,1,0,0
1/24/20,China,Shandong,Linyi,3,0,0
1/24/20,China,Shandong,Binzhou,0,0,0
1/24/20,China,Shandong,Heze,0,0,0
1/24/20,China,Fujian,Sanming,0,0,0
1/24/20,China,Fujian,Zhangzhou,0,0,0
1/24/20,China,Qinghai,Xining,0,0,0
1/24/20,China,Yunnan,Kunming,3,0,0
1/24/20,China,Yunnan,Lijiang,1,0,0
1/24/20,China,Yunnan,Xishuangbanna,1,0,0
1/24/20,China,Beijing,Foreign to Beijing,10,0,0
1/24/20,China,Beijing,Xicheng,4,0,0
1/24/20,China,Beijing,Chaoyang,5,0,0
1/24/20,China,Beijing,Fengtai,2,0,0
1/24/20,China,Beijing,Shijingshan,1,0,0
1/24/20,China,Beijing,Haidian,6,0,0
1/24/20,China,Beijing,Tongzhou,2,0,0
1/24/20,China,Beijing,Shunyi,1,0,0
1/24/20,China,Beijing,Changping,3,0,0
1/24/20,China,Beijing,Daxing,2,0,0
1/24/20,China,Jilin,Changchun,1,0,0
1/24/20,China,Jilin,Jilin,2,0,0
1/24/20,China,Jilin,Songyuan,1,0,0
1/24/20,China,Sichuan,Chengdu,16,0,0
1/24/20,China,Sichuan,Zigong,1,0,0
1/24/20,China,Sichuan,Luzhou,1,0,0
1/24/20,China,Sichuan,Deyang,1,0,0
1/24/20,China,Sichuan,Mianyang,2,0,0
1/24/20,China,Sichuan,Suining,2,0,0
1/24/20,China,Sichuan,Neijiang,1,0,0
1/24/20,China,Sichuan,Guang'an,2,0,0
1/24/20,China,Sichuan,Dazhou,1,0,0
1/24/20,China,Sichuan,Ya'an,1,0,0
1/24/20,China,Ningxia,Yinchuan,1,0,0
1/24/20,China,Ningxia,Guyuan,1,0,0
1/24/20,China,Ningxia,Zhongwei,1,0,0
1/24/20,China,Anhui,Hefei,10,0,0
1/24/20,China,Anhui,Wuhu,1,0,0
1/24/20,China,Anhui,Bengbu,1,0,0
1/24/20,China,Anhui,Ma'anshan,4,0,0
1/24/20,China,Anhui,Tongling,3,0,0
1/24/20,China,Anhui,Anqing,4,0,0
1/24/20,China,Anhui,Chuzhou,2,0,0
1/24/20,China,Anhui,Fuyang,7,0,0
1/24/20,China,Anhui,Lu'an,2,0,0
1/24/20,China,Anhui,Bozhou,4,0,0
1/24/20,China,Anhui,Chizhou,1,0,0
1/24/20,China,Shandong,Yantai,2,0,0
1/24/20,China,Shandong,Rizhao,2,0,0
1/24/20,China,Shandong,Dezhou,1,0,0
1/24/20,China,Shandong,Liaocheng,1,0,0
1/24/20,China,Shanxi,Taiyuan,2,0,0
1/24/20,China,Shanxi,Datong,1,0,0
1/24/20,China,Shanxi,Changzhi,1,0,0
1/24/20,China,Shanxi,Yuncheng,2,0,0
1/24/20,China,Guangdong,Guangzhou,14,0,0
1/24/20,China,Guangdong,Shaoguan,3,0,0
1/24/20,China,Guangdong,Shenzhen,20,2,0
1/24/20,China,Guangdong,Zhuhai,10,0,0
1/24/20,China,Guangdong,Shantou,1,0,0
1/24/20,China,Guangdong,Foshan,9,0,0
1/24/20,China,Guangdong,Zhanjiang,2,0,0
1/24/20,China,Guangdong,Zhaoqing,2,0,0
1/24/20,China,Guangdong,Huizhou,7,0,0
1/24/20,China,Guangdong,Yangjiang,5,0,0
1/24/20,China,Guangdong,Qingyuan,2,0,0
1/24/20,China,Guangdong,Dongguan,1,0,0
1/24/20,China,Guangdong,Zhongshan,2,0,0
1/24/20,China,Guangxi,Liuzhou,3,0,0
1/24/20,China,Guangxi,Guilin,6,0,0
1/24/20,China,Guangxi,Wuzhou,1,0,0
1/24/20,China,Guangxi,Beihai,6,0,0
1/24/20,China,Guangxi,Fangchenggang,2,0,0
1/24/20,China,Guangxi,Yulin,1,0,0
1/24/20,China,Guangxi,Baise,1,0,0
1/24/20,China,Guangxi,Hechi,3,0,0
1/24/20,China,Xinjiang,ÜrümqiÜrümqi,3,0,0
1/24/20,China,Jiangsu,Nanjing,4,0,0
1/24/20,China,Jiangsu,Wuxi,1,0,0
1/24/20,China,Jiangsu,Changzhou,5,0,0
1/24/20,China,Jiangsu,Suzhou,3,1,0
1/24/20,China,Jiangsu,Nantong,1,0,0
1/24/20,China,Jiangsu,Lianyungang,1,0,0
1/24/20,China,Jiangsu,Yancheng,1,0,0
1/24/20,China,Jiangsu,Yangzhou,1,0,0
1/24/20,China,Jiangsu,Suqian,1,0,0
1/24/20,China,Jiangxi,Nanchang,3,0,0
1/24/20,China,Jiangxi,Jingdezhen,1,0,0
1/24/20,China,Jiangxi,Pingxiang,1,0,0
1/24/20,China,Jiangxi,Jiujiang,2,0,0
1/24/20,China,Jiangxi,Xinyu,1,0,0
1/24/20,China,Jiangxi,Ganzhou,2,0,0
1/24/20,China,Jiangxi,Ji'an,1,0,0
1/24/20,China,Jiangxi,Yichun,1,0,0
1/24/20,China,Jiangxi,Fuzhou,4,0,0
1/24/20,China,Jiangxi,Shangrao,2,0,0
1/24/20,China,Hebei,Shijiazhuang,4,0,0
1/24/20,China,Hebei,Baoding,1,0,0
1/24/20,China,Hebei,Chengde,1,0,0
1/24/20,China,Hebei,Cangzhou,2,0,1
1/24/20,China,Henan,Zhengzhou,6,0,0
1/24/20,China,Henan,Gongyi,2,0,0
1/24/20,China,Henan,Luoyang,1,0,0
1/24/20,China,Henan,Pingdingshan,1,0,0
1/24/20,China,Henan,Xinxiang,1,0,0
1/24/20,China,Henan,Sanmenxia,1,0,0
1/24/20,China,Henan,Nanyang,8,0,0
1/24/20,China,Henan,Xinyang,5,0,0
1/24/20,China,Henan,NA,1,0,0
1/24/20,China,Henan,Zhoukou,4,0,0
1/24/20,China,Henan,Zhumadian,2,0,0
1/24/20,China,Zhejiang,Hangzhou,12,0,0
1/24/20,China,Zhejiang,Ningbo,6,0,0
1/24/20,China,Zhejiang,Wenzhou,10,1,0
1/24/20,China,Zhejiang,Jiaxing,4,0,0
1/24/20,China,Zhejiang,Shaoxing,4,0,0
1/24/20,China,Zhejiang,Jinhua,2,0,0
1/24/20,China,Zhejiang,Quzhou,2,0,0
1/24/20,China,Zhejiang,Zhoushan,2,0,0
1/24/20,China,Zhejiang,Taizhou,20,0,0
1/24/20,China,Hainan,Haikou,3,0,0
1/24/20,China,Hainan,Sanya,5,0,0
1/24/20,China,Hainan,Danzhou,3,0,0
1/24/20,China,Hainan,Wanning,5,0,0
1/24/20,China,Hainan,Lingao County,1,0,0
1/24/20,China,Hubei,Wuhan,572,32,38
1/24/20,China,Hubei,Shiyan,5,0,0
1/24/20,China,Hubei,Jingmen,21,0,0
1/24/20,China,Hubei,Xiaogan,26,0,0
1/24/20,China,Hubei,Huanggang,64,0,0
1/24/20,China,Hubei,Jingzhou,10,0,0
1/24/20,China,Hubei,Xiantao,10,0,0
1/24/20,China,Hubei,Suizhou,5,0,0
1/24/20,China,Hubei,Enshi,11,0,0
1/24/20,China,Hubei,Ezhou,1,0,0
1/24/20,China,Hubei,Tianmen,3,0,0
1/24/20,China,Hubei,Yichang,1,0,1
1/24/20,China,Hunan,Changsha,8,0,0
1/24/20,China,Hunan,Zhuzhou,1,0,0
1/24/20,China,Hunan,Xiangtan,2,0,0
1/24/20,China,Hunan,Hengyang,3,0,0
1/24/20,China,Hunan,Shaoyang,2,0,0
1/24/20,China,Hunan,Yueyang,5,0,0
1/24/20,China,Hunan,Changde,3,0,0
1/24/20,China,Hunan,Yiyang,4,0,0
1/24/20,China,Hunan,Chenzhou,1,0,0
1/24/20,China,Hunan,Yongzhou,4,0,0
1/24/20,China,Hunan,Huaihua,5,0,0
1/24/20,China,Hunan,Loudi,5,0,0
1/24/20,China,Fujian,Fuzhou,5,0,0
1/24/20,China,Fujian,Quanzhou,1,0,0
1/24/20,China,Fujian,Ningde,1,0,0
1/24/20,China,Guizhou,Guiyang,1,0,0
1/24/20,China,Guizhou,Tongren,2,0,0
1/24/20,China,Guizhou,Qiannan Prefecture,1,0,0
1/24/20,China,Liaoning,Shenyang,3,0,0
1/24/20,China,Liaoning,Dalian,2,0,0
1/24/20,China,Liaoning,Benxi,1,0,0
1/24/20,China,Liaoning,Tieling,2,0,0
1/24/20,China,Liaoning,Chaoyang,2,0,0
1/24/20,China,Liaoning,Huludao,2,0,0
1/24/20,China,Chongqing,Liangjiang New Area,3,0,0
1/24/20,China,Chongqing,Wanzhou District,10,0,0
1/24/20,China,Chongqing,Fuling District,1,0,0
1/24/20,China,Chongqing,Dadukou District,2,0,0
1/24/20,China,Chongqing,Jiulongpo District,3,0,0
1/24/20,China,Chongqing,Yubei District,2,0,0
1/24/20,China,Chongqing,Changshou District,5,0,0
1/24/20,China,Chongqing,Hechuan District,2,0,0
1/24/20,China,Chongqing,Yongchuan District,3,0,0
1/24/20,China,Chongqing,Bishan District,2,0,0
1/24/20,China,Chongqing,Kaizhou District,4,0,0
1/24/20,China,Chongqing,Liangping District,1,0,0
